ticket_id,ticket_date,channel,product,issue_type,sentiment,priority,resolution_status,resolution_time_hours,customer_satisfaction
TKT504430,2025-01-01,Chat,Account,Login Issue,Negative,Medium,Resolved,13.3,2.1
TKT505025,2025-01-01,Chat,Loans,Refund Delay,Positive,Medium,Resolved,21.5,3.6
TKT509828,2025-01-01,Phone,Account,Payment Failed,Positive,Medium,Resolved,29.7,3.5
TKT505364,2025-01-01,Chat,Cards,Loan Query,Neutral,Low,Resolved,28.2,3.5
TKT505406,2025-01-01,Chat,Cards,Account Access,Negative,High,Resolved,27.8,2.4
TKT502253,2025-01-01,Phone,Cards,App Bug,Negative,Medium,Resolved,24.2,2.6
TKT507602,2025-01-01,Chat,Account,Card Issue,Neutral,Medium,Resolved,19.4,3.0
TKT500167,2025-01-01,Social,Loans,App Bug,Neutral,Low,Pending,45.1,4.0
TKT509147,2025-01-01,Phone,Account,Account Access,Negative,High,Pending,37.0,2.5
TKT505701,2025-01-01,Social,Mobile App,Refund Delay,Neutral,High,Pending,40.6,3.1
TKT501371,2025-01-01,Chat,Payments,Login Issue,Negative,Critical,Pending,34.8,3.1
TKT501350,2025-01-01,Social,Cards,Payment Failed,Negative,High,Pending,40.8,3.4
TKT508176,2025-01-01,Email,Loans,Account Access,Positive,Low,Pending,45.6,3.3
TKT501318,2025-01-01,Chat,Payments,Card Issue,Negative,Medium,Resolved,14.9,3.2
TKT504226,2025-01-01,Phone,Cards,App Bug,Negative,High,Pending,39.2,2.2
TKT508067,2025-01-01,Chat,Cards,Payment Failed,Negative,High,Resolved,27.3,2.3
TKT507002,2025-01-01,Chat,Mobile App,Loan Query,Negative,High,Resolved,28.3,2.7
TKT506180,2025-01-01,Email,Mobile App,Login Issue,Negative,Low,Pending,45.3,2.5
TKT505989,2025-01-01,Phone,Account,Loan Query,Neutral,Medium,Resolved,28.5,3.1
TKT503940,2025-01-01,Chat,Loans,Login Issue,Negative,Medium,Resolved,20.2,3.5
TKT511270,2025-01-02,Chat,Payments,Refund Delay,Negative,High,Pending,41.2,2.5
TKT508836,2025-01-02,Chat,Payments,Card Issue,Neutral,Medium,Resolved,15.0,4.1
TKT505349,2025-01-02,Email,Loans,App Bug,Negative,Low,Pending,43.4,3.2
TKT508801,2025-01-02,Chat,Mobile App,Card Issue,Positive,Medium,Resolved,26.2,4.2
TKT508723,2025-01-02,Social,Cards,Payment Failed,Negative,Medium,Resolved,28.2,3.3
TKT507717,2025-01-02,Chat,Account,Account Access,Neutral,Medium,Resolved,17.6,3.7
TKT510137,2025-01-02,Phone,Payments,Payment Failed,Positive,Low,Pending,33.1,4.6
TKT503662,2025-01-02,Social,Payments,Login Issue,Positive,Low,Resolved,24.5,3.8
TKT508461,2025-01-02,Social,Mobile App,Account Access,Positive,Medium,Pending,36.2,3.8
TKT507759,2025-01-02,Chat,Account,Refund Delay,Negative,Low,Pending,30.4,2.7
TKT500539,2025-01-02,Email,Payments,Login Issue,Positive,Medium,Pending,35.5,3.9
TKT501634,2025-01-02,Email,Mobile App,Login Issue,Neutral,Critical,Pending,47.4,4.0
TKT502607,2025-01-02,Email,Mobile App,App Bug,Negative,Medium,Pending,53.1,2.8
TKT502624,2025-01-02,Email,Loans,Login Issue,Neutral,Medium,Escalated,55.0,3.0
TKT503658,2025-01-02,Chat,Payments,Payment Failed,Negative,Low,Resolved,14.2,1.8
TKT502402,2025-01-02,Social,Payments,Loan Query,Positive,Medium,Pending,31.4,4.5
TKT500169,2025-01-02,Chat,Mobile App,Loan Query,Neutral,High,Resolved,28.3,3.8
TKT500970,2025-01-02,Email,Loans,Card Issue,Negative,High,Escalated,55.7,1.7
TKT500765,2025-01-02,Chat,Cards,Payment Failed,Negative,High,Resolved,28.0,2.7
TKT508441,2025-01-02,Chat,Account,App Bug,Negative,Medium,Resolved,24.3,3.0
TKT503229,2025-01-03,Phone,Account,Login Issue,Negative,Medium,Resolved,22.7,1.9
TKT504553,2025-01-03,Chat,Mobile App,Refund Delay,Negative,Low,Resolved,23.6,2.2
TKT511003,2025-01-03,Chat,Payments,Payment Failed,Positive,Medium,Resolved,18.2,3.8
TKT508385,2025-01-03,Social,Mobile App,Refund Delay,Negative,High,Pending,32.9,2.1
TKT506764,2025-01-03,Email,Loans,Refund Delay,Negative,Medium,Pending,36.7,2.7
TKT508583,2025-01-03,Email,Payments,Login Issue,Neutral,Low,Pending,34.5,3.9
TKT503989,2025-01-03,Email,Account,Refund Delay,Negative,Medium,Escalated,59.8,2.2
TKT503725,2025-01-03,Email,Payments,Payment Failed,Negative,Low,Escalated,62.2,1.4
TKT508642,2025-01-03,Social,Cards,Refund Delay,Neutral,Critical,Pending,43.6,4.5
TKT505858,2025-01-03,Phone,Mobile App,App Bug,Negative,High,Resolved,27.3,3.5
TKT503716,2025-01-03,Email,Account,Loan Query,Positive,Medium,Pending,45.1,4.1
